a1hhid_combined,b1plot_type_2018_1,b1soil_type_2018_1,b1plot_size_2015_1,b1plot_size_2018_1,b1plot_status_2018_1,b1operation_stat_2018_1,b1landname_new_1,b1plot_type_2018_2,b1soil_type_2018_2,b1plot_size_2015_2,b1plot_size_2018_2,b1plot_status_2018_2,b1operation_stat_2018_2,b1landname_new_2,b1plot_type_2018_3,b1soil_type_2018_3,b1plot_size_2015_3,b1plot_size_2018_3,b1plot_status_2018_3,b1operation_stat_2018_3,b1landname_new_3,b1plot_type_2018_4,b1soil_type_2018_4,b1plot_size_2015_4,b1plot_size_2018_4,b1plot_status_2018_4,b1operation_stat_2018_4,b1landname_new_4,b1plot_type_2018_5,b1soil_type_2018_5,b1plot_size_2015_5,b1plot_size_2018_5,b1plot_status_2018_5,b1operation_stat_2018_5,b1landname_new_5,b1plot_type_2018_6,b1soil_type_2018_6,b1plot_size_2015_6,b1plot_size_2018_6,b1plot_status_2018_6,b1operation_stat_2018_6,b1landname_new_6,b1plot_type_2018_7,b1soil_type_2018_7,b1plot_size_2015_7,b1plot_size_2018_7,b1plot_status_2018_7,b1operation_stat_2018_7,b1landname_new_7,b1plot_type_2018_8,b1soil_type_2018_8,b1plot_size_2015_8,b1plot_size_2018_8,b1plot_status_2018_8,b1operation_stat_2018_8,b1landname_new_8,b1plot_type_2018_9,b1soil_type_2018_9,b1plot_size_2015_9,b1plot_size_2018_9,b1plot_status_2018_9,b1operation_stat_2018_9,b1landname_new_9,b1plot_type_2018_10,b1soil_type_2018_10,b1plot_size_2015_10,b1plot_size_2018_10,b1plot_status_2018_10,b1operation_stat_2018_10,b1landname_new_10,b1plot_type_2018_11,b1soil_type_2018_11,b1plot_size_2015_11,b1plot_size_2018_11,b1plot_status_2018_11,b1operation_stat_2018_11,b1landname_new_11,b1plot_type_2018_12,b1soil_type_2018_12,b1plot_size_2015_12,b1plot_size_2018_12,b1plot_status_2018_12,b1operation_stat_2018_12,b1landname_new_12,b1plot_type_2018_13,b1soil_type_2018_13,b1plot_size_2015_13,b1plot_size_2018_13,b1plot_status_2018_13,b1operation_stat_2018_13,b1landname_new_13,b1plot_type_2018_14,b1soil_type_2018_14,b1plot_size_2015_14,b1plot_size_2018_14,b1plot_status_2018_14,b1operation_stat_2018_14,b1landname_new_14,b1plot_type_2018_15,b1soil_type_2018_15,b1plot_size_2015_15,b1plot_size_2018_15,b1plot_status_2018_15,b1operation_stat_2018_15,b1landname_new_15,b1plot_type_2018_16,b1soil_type_2018_16,b1plot_size_2015_16,b1plot_size_2018_16,b1plot_status_2018_16,b1operation_stat_2018_16,b1landname_new_16,b1plot_type_2018_17,b1soil_type_2018_17,b1plot_size_2015_17,b1plot_size_2018_17,b1plot_status_2018_17,b1operation_stat_2018_17,b1landname_new_17,b1plot_type_2018_18,b1soil_type_2018_18,b1plot_size_2015_18,b1plot_size_2018_18,b1plot_status_2018_18,b1operation_stat_2018_18,b1landname_new_18,b1plot_type_2018_19,b1soil_type_2018_19,b1plot_size_2015_19,b1plot_size_2018_19,b1plot_status_2018_19,b1operation_stat_2018_19,b1landname_new_19,b1plot_type_2018_20,b1soil_type_2018_20,b1plot_size_2015_20,b1plot_size_2018_20,b1plot_status_2018_20,b1operation_stat_2018_20,b1landname_new_20,b1plot_type_2018_21,b1soil_type_2018_21,b1plot_size_2015_21,b1plot_size_2018_21,b1plot_status_2018_21,b1operation_stat_2018_21,b1landname_new_21,b1plot_type_2018_22,b1soil_type_2018_22,b1plot_size_2015_22,b1plot_size_2018_22,b1plot_status_2018_22,b1operation_stat_2018_22,b1landname_new_22,b1plot_type_2018_23,b1soil_type_2018_23,b1plot_size_2015_23,b1plot_size_2018_23,b1plot_status_2018_23,b1operation_stat_2018_23,b1landname_new_23,b1plot_type_2018_24,b1soil_type_2018_24,b1plot_size_2015_24,b1plot_size_2018_24,b1plot_status_2018_24,b1operation_stat_2018_24,b1landname_new_24,b1plot_type_2018_25,b1soil_type_2018_25,b1plot_size_2015_25,b1plot_size_2018_25,b1plot_status_2018_25,b1operation_stat_2018_25,b1landname_new_25,b1plot_type_2018_26,b1soil_type_2018_26,b1plot_size_2015_26,b1plot_size_2018_26,b1plot_status_2018_26,b1operation_stat_2018_26,b1landname_new_26,b1plot_type_2018_27,b1soil_type_2018_27,b1plot_size_2015_27,b1plot_size_2018_27,b1plot_status_2018_27,b1operation_stat_2018_27,b1landname_new_27,b1plot_type_2018_28,b1soil_type_2018_28,b1plot_size_2015_28,b1plot_size_2018_28,b1plot_status_2018_28,b1operation_stat_2018_28,b1landname_new_28,b1plot_type_2018_29,b1soil_type_2018_29,b1plot_size_2015_29,b1plot_size_2018_29,b1plot_status_2018_29,b1operation_stat_2018_29,b1landname_new_29,b1plot_type_2018_30,b1soil_type_2018_30,b1plot_size_2015_30,b1plot_size_2018_30,b1plot_status_2018_30,b1operation_stat_2018_30,b1landname_new_30,b1plot_type_2018_31,b1soil_type_2018_31,b1plot_size_2015_31,b1plot_size_2018_31,b1plot_status_2018_31,b1operation_stat_2018_31,b1landname_new_31,b1plot_type_2018_32,b1soil_type_2018_32,b1plot_size_2015_32,b1plot_size_2018_32,b1plot_status_2018_32,b1operation_stat_2018_32,b1landname_new_32,b1plot_type_2018_33,b1soil_type_2018_33,b1plot_size_2015_33,b1plot_size_2018_33,b1plot_status_2018_33,b1operation_stat_2018_33,b1landname_new_33,b1plot_type_2018_34,b1soil_type_2018_34,b1plot_size_2015_34,b1plot_size_2018_34,b1plot_status_2018_34,b1operation_stat_2018_34,b1landname_new_34,b1plot_type_2018_35,b1soil_type_2018_35,b1plot_size_2015_35,b1plot_size_2018_35,b1plot_status_2018_35,b1operation_stat_2018_35,b1landname_new_35,b1n_plot_2018,b1plot_roster_count
1632,Homestead,Clay-loam,8,8,Plot is the same in both rounds,Fallow,Basat vita(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1633,Homestead,Clay-loam,6.5,6.5,Plot is the same in both rounds,Fallow,Basat vita(old land),Cultivable/arable land,,12,0,Mortgage out/ Rent,,Barir purbo pase(old land),,,,,,,Manik er jomi(new land in SPIA BIHS 2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
1635,Homestead,Clay-loam,15,15,Plot is the same in both rounds,Fallow,Bosotvita(old land),Cultivable/arable land,Clay-loam,18,18,Plot is the same in both rounds,Own operated,Puber jomi(old land),Cultivable/arable land,Clay-loam,15,15,Plot is the same in both rounds,Own operated,Puber bon(old land),Cultivable/arable land,Clay-loam,7,7,Plot is the same in both rounds,Own operated,Puber bon(old land),Cultivable/arable land,,0,0,Others (specify),,Simur jomi(old land),Cultivable/arable land,,0,0,Others (specify),,Simur jomi(old land),Cultivable/arable land,,25,0,Mortgage out/ Rent,,Boro vayer jomi(old land),Cultivable/arable land,,20,0,Mortgage out/ Rent,,Boro vayer jomi(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
1636,Homestead,Clay-loam,5,5,Plot is the same in both rounds,Fallow,Basat vita(old land),Cultivable/arable land,Clay-loam,17.5,17.5,Plot is the same in both rounds,Own operated,Barir kaser jomi(old land),Cultivable/arable land,Clay-loam,17.5,17.5,Plot is the same in both rounds,Own operated,Barir kase(old land),Garden (wood/Friut),Clay-loam,22,22,Plot is the same in both rounds,Fallow,Kajil bagan(old land),Cultivable/arable land,Clay-loam,105,105,Plot is the same in both rounds,Rented/leased in/crop share,Biler majer jomi(old land),Only for seed bed),Clay-loam,3.5,5,Others (specify),Fallow,Barir gasa jomi(old land),Cultivable/arable land,Clay-loam,0,40,New Mortgage,Rented/leased in/crop share,Miloner vui(old land),Cultivable/arable land,Clay-loam,0,35,New Mortgage,Rented/leased in/crop share,Fajlur vui(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
1638.1,Homestead,Clay-loam,12,3,Inherited or Household Split,Fallow,Basat vita(old land),Cultivable/arable land,Clay-loam,45,45,Plot is the same in both rounds,Rented/leased out/crop share,Biler jomi(old land),Cultivable/arable land,,30,0,Inherited or Household Split,,Raster pashe(old land),Cultivable/arable land,,30,0,Inherited or Household Split,,Robo raster pashe(old land),Cultivable/arable land,,17.5,0,Inherited or Household Split,,Khader par(old land),Cultivable/arable land,,17.5,0,Inherited or Household Split,,Daker khet(old land),Cultivable/arable land,Clay-loam,7,7,Plot is the same in both rounds,Rented/leased out/crop share,Kurer par(old land),Cultivable/arable land,,5,0,Inherited or Household Split,,Pukurer pashe(old land),Cultivable Pond,Clay-loam,17.5,4.5,Inherited or Household Split,Own operated,Pukur(old land),Only for seed bed),,8,0,Inherited or Household Split,,Jalar jomi(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10
1638.2,Homestead,Clay-loam,12,3,Inherited or Household Split,Fallow,Bosot vita(old land),Cultivable/arable land,,45,0,Inherited or Household Split,,Biler jomi(old land),Cultivable/arable land,,30,0,Inherited or Household Split,,Raster pasay(old land),Cultivable/arable land,Clay-loam,30,30,Plot is the same in both rounds,Own operated,Boro raster pasay(old land),Cultivable/arable land,,17.5,0,Inherited or Household Split,,Khader pasay(old land),Cultivable/arable land,Loam,17.5,17.5,Plot is the same in both rounds,Own operated,Dadar khat(old land),Cultivable/arable land,,7,0,Inherited or Household Split,,Kuyar para(old land),Cultivable/arable land,Clay-loam,5,5,Plot is the same in both rounds,Own operated,Pukur er pasay(old land),Cultivable Pond,Clay-loam,17.5,4.5,Inherited or Household Split,Own operated,Pukur(old land),Cultivable/arable land,Clay-loam,8,8,Plot is the same in both rounds,Own operated,Jalar jomi(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10
1639,Homestead,Clay-loam,20,20,Plot is the same in both rounds,Fallow,Basat vita(old land),Cultivable/arable land,Clay-loam,35,35,Plot is the same in both rounds,Own operated,Basat vitar purbo pase(old land),Cultivable/arable land,Clay-loam,15,15,Plot is the same in both rounds,Own operated,Basat vitar purbo pase(old land),Cultivable/arable land,,0,0,Others (specify),,Barir pase(old land),Cultivable/arable land,Clay-loam,35,35,Plot is the same in both rounds,Own operated,Brjier pase(old land),Bush/forest,Clay-loam,3,3,Plot is the same in both rounds,Fallow,Barir dokhin(old land),Bush/forest,Clay-loam,3,3,Plot is the same in both rounds,Fallow,Barir dokkin(old land),Bush/forest,Clay-loam,3,3,Plot is the same in both rounds,Fallow,Barir u(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
1641,Homestead,Clay-loam,17,17,Plot is the same in both rounds,Fallow,Bosot vita(old land),Cultivable/arable land,,0,0,Others (specify),,Gilar sohor(old land),Cultivable/arable land,,0,0,Others (specify),,Gilar sohor(old land),Cultivable/arable land,Clay-loam,42,42,Plot is the same in both rounds,Own operated,Project er pase(old land),Cultivable/arable land,Clay-loam,31,31,Plot is the same in both rounds,Own operated,Project er pase(old land),Cultivable/arable land,Clay-loam,52,52,Plot is the same in both rounds,Own operated,Barir pase(old land),Cultivable/arable land,Clay-loam,35,35,Plot is the same in both rounds,Own operated,Rastar pase(old land),Cultivable/arable land,Clay-loam,17,17,Plot is the same in both rounds,Own operated,Barir purbo(old land),Bush/forest,Clay-loam,17,17,Plot is the same in both rounds,Fallow,Barir paschim(old land),Only for seed bed),,17,0,Sold,,Bizz tola(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10
1643,Homestead,Clay-loam,10,10,Plot is the same in both rounds,Fallow,Basat vita(old land),Cultivable/arable land,Clay-loam,35,35,Plot is the same in both rounds,Own operated,Barir pase(old land),Cultivable/arable land,Clay-loam,0,56,New Mortgage,Rented in for certain amount ofcrops,Kalam er jomi(old land),Cultivable/arable land,Clay-loam,0,35,New Mortgage,Mortgaged in,Fozor er jomi(old land),,,,,,,Jakaria vai er jomi(new land in SPIA BIHS 2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5
1644.2,Homestead,,0,0,Others (specify),,Basat vita(old land),Homestead,Clay-loam,0,2,New inheritance,Fallow,Bosat vita(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
1646,Homestead,Clay-loam,2,2,Plot is the same in both rounds,Fallow,Basat vita(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1648,Homestead,Clay-loam,30,30,Plot is the same in both rounds,Fallow,Basat vita(old land),Cultivable/arable land,Clay-loam,45,45,Plot is the same in both rounds,Rented/leased  out/cash,Basat vita uttar er jomi(old land),Cultivable/arable land,Clay-loam,35,35,Plot is the same in both rounds,Own operated,Kachina er jomi(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
1649,Homestead,Clay-loam,8,45,Others (specify),Fallow,Basat vita(old land),Cultivable/arable land,Clay-loam,45,45,Plot is the same in both rounds,Mortgage out,Barir purbo(old land),Cultivable/arable land,Clay-loam,35,35,Plot is the same in both rounds,Mortgage out,Barir prachim pase(old land),Cultivable/arable land,Clay-loam,28,28,Plot is the same in both rounds,Mortgage out,Barir purbo(old land),Cultivable/arable land,Clay-loam,24,24,Plot is the same in both rounds,Mortgage out,Barir uttor(old land),Cultivable/arable land,,7,0,Sold,,Basat vita(old land),Cultivable/arable land,Clay-loam,14,14,Plot is the same in both rounds,Mortgage out,Barir parchim(old land),Cultivable/arable land,Clay-loam,0,52,New Purchase,Fallow,Notun bari(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
1650,Homestead,Clay-loam,34,23,Inherited or Household Split,Fallow,Bosot vita(old land),Cultivable/arable land,,35,0,Mortgage out/ Rent,,Sonakor(old land),Only for seed bed),,3,0,Mortgage out/ Rent,,Bizz tola(old land),Cultivable/arable land,Clay-loam,0,7,New inheritance,Own operated,Barir paser jomi(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
1651,Homestead,Clay-loam,3,3,Plot is the same in both rounds,Fallow,Bosot vita(old land),Cultivable/arable land,Loam,0,7,New Mortgage,Mortgaged in,Poschim mat(old land),Cultivable/arable land,Loam,0,7,New Mortgage,Mortgaged in,Poschim mat(old land),Cultivable/arable land,Loam,0,7,New Mortgage,Mortgaged in,Purbo mat(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
1652,Homestead,Clay-loam,14,14,Plot is the same in both rounds,Fallow,Basat Vita(old land),Cultivable/arable land,,0,0,Others (specify),,Bohidar jomi(old land),Garden (wood/Friut),Clay-loam,35,35,Plot is the same in both rounds,Fallow,Bagan(old land),Cultivable/arable land,Clay-loam,35,35,Plot is the same in both rounds,Own operated,Onnbadi(old land),Only for seed bed),,4,0,Mortgage out/ Rent,,Bazz tola(old land),Cultivable/arable land,Clay-loam,66,30,Others (specify),Own operated,Paler dag(old land),Cultivable/arable land,Clay-loam,25,25,Plot is the same in both rounds,Own operated,Sail jomi(old land),Cultivable/arable land,Clay-loam,7,7,Plot is the same in both rounds,Own operated,Sali jomi(old land),Homestead,Clay-loam,11,11,Plot is the same in both rounds,Fallow,Gila sohor(old land),Only for seed bed),,7,0,Mortgage out/ Rent,,Bizz tola(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10
1653,Homestead,Clay-loam,2,2,Plot is the same in both rounds,Fallow,Basat vita(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1654,Homestead,Clay-loam,5,5,Plot is the same in both rounds,Fallow,Basat vita(old land),Garden (wood/Friut),Clay-loam,24,24,Plot is the same in both rounds,Fallow,Barir pase(old land),Cultivable/arable land,,0,0,Others (specify),,Biler maje(old land),,,,,,,Kachina bad er jomi(new land in SPIA BIHS 2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
1657.1,Homestead,Clay-loam,7,1,Inherited or Household Split,Fallow,Bosot vita(old land),Cultivable/arable land,,10,0,Inherited or Household Split,,Barir pase jomi(old land),Cultivable/arable land,,42,0,Inherited or Household Split,,Barir paser jomi(old land),Cultivable/arable land,,31,0,Inherited or Household Split,,Lihaliya(old land),Cultivable/arable land,,4,0,Inherited or Household Split,,Company er jomi(old land),Cultivable Pond,,30,0,Inherited or Household Split,,Pukur(old land),,,,,,,Company er jomi(new land in SPIA BIHS 2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7
1657.2,Homestead,Clay-loam,7,6,Inherited or Household Split,Fallow,Bosot vita(old land),Cultivable/arable land,Clay-loam,10,10,Plot is the same in both rounds,Rented/leased out/crop share,Barir paser jomi(old land),Cultivable/arable land,Clay-loam,42,42,Plot is the same in both rounds,Rented/leased out/crop share,Barir pase(old land),Cultivable/arable land,,31,0,Sold,,Lihalia(old land),Cultivable/arable land,,4,0,Mortgage out/ Rent,,Company er jomi(old land),Cultivable Pond,Clay-loam,30,30,Plot is the same in both rounds,Own operated,Pukur(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
1659,Homestead,Clay-loam,10,10,Plot is the same in both rounds,Fallow,Basat vita(old land),Garden (wood/Friut),Clay-loam,0,7,New inheritance,Fallow,Bari pashe(old land),Garden (wood/Friut),Clay-loam,0,12,New inheritance,Fallow,Bari pashe(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
1660,Homestead,Clay-loam,8,8,Plot is the same in both rounds,Fallow,Bosotvita(old land),Other residential/commercial plot,Clay-loam,0,6,New inheritance,Rented/leased  out/cash,Dokan(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
1661,Homestead,Clay-loam,7,7,Plot is the same in both rounds,Fallow,Bosot vita(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1662,Homestead,Clay-loam,17,17,Plot is the same in both rounds,Fallow,Bosotvita(old land),Cultivable/arable land,Clay-loam,91,91,Plot is the same in both rounds,Rented/leased out/crop share,Tengra(old land),Land in riverbed,Clay-loam,60,60,Plot is the same in both rounds,Rented/leased out/crop share,Barir pashe(old land),Cultivable/arable land,Clay-loam,57,57,Plot is the same in both rounds,Rented/leased out/crop share,Bari pashe(old land),Cultivable/arable land,,50,0,Sold,,Bari Pashe(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
1663,Homestead,Clay-loam,26,26,Plot is the same in both rounds,Fallow,Bosot vitha(old land),Cultivable/arable land,Clay-loam,70,70,Plot is the same in both rounds,Own operated,Barir phase(old land),Cultivable/arable land,Clay-loam,70,70,Plot is the same in both rounds,Own operated,Barir pochim e(old land),Cultivable/arable land,Clay-loam,36,36,Plot is the same in both rounds,Own operated,Barir pocchim e(old land),Cultivable/arable land,Clay-loam,17,17,Plot is the same in both rounds,Mortgage out,Barir konay(old land),Cultivable/arable land,Clay-loam,51,51,Plot is the same in both rounds,Mortgage out,Barir poccim e(old land),Cultivable Pond,Clay-loam,15,15,Plot is the same in both rounds,Own operated,Barir paschem(old land),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7
